YMR108W	Acetolactate-synthase
YCL009C	Acetolactate-synthase
YAL029C	Actin-associated-motorproteins
YBR172C	Actin-associated-motorproteins
YOR326W	Actin-associated-motorproteins
YHR023W	Actin-associated-motorproteins
YMR109W	Actin-associated-motorproteins
YKL079W	Actin-associated-motorproteins
YKL129C	Actin-associated-motorproteins
YHR179W	Actin-associated-proteins
YIL034C	Actin-associated-proteins
YLL050C	Actin-associated-proteins
YLR337C	Actin-associated-proteins
YLR319C	Actin-associated-proteins
YIL138C	Actin-associated-proteins
YKL007W	Actin-associated-proteins
YIR006C	Actin-associated-proteins
YLR429W	Actin-associated-proteins
YNL079C	Actin-associated-proteins
YNL243W	Actin-associated-proteins
YOR181W	Actin-associated-proteins
YOR122C	Actin-associated-proteins
YNL138W	Actin-associated-proteins
YMR092C	Actin-associated-proteins
YGR080W	Actin-associated-proteins
YBL007C	Actin-associated-proteins
YBR200W	Actin-associated-proteins
YCR088W	Actin-associated-proteins
YDL178W	Actin-associated-proteins
YDR388W	Actin-associated-proteins
YDR129C	Actin-associated-proteins
YDL029W	Actin-associated-proteins
YCL040W	Actin-associated-proteins
YBR234C	Actin-associated-proteins
YOL148C	ADA-complex
YDR448W	ADA-complex
YGR252W	ADA-complex
YHR099W	ADA-complex
YPL254W	ADA-complex
YDR176W	ADA-complex
YGL032C	Alpha-agglutinin-anchor
YNR044W	Alpha-agglutinin-anchor
YML100W	Alpha-alpha-trehalose-phosphate-synthase
YMR261C	Alpha-alpha-trehalose-phosphate-synthase
YBR126C	Alpha-alpha-trehalose-phosphate-synthase
YDR074W	Alpha-alpha-trehalose-phosphate-synthase
YBL084C	Anaphase-promoting-complex
YDR118W	Anaphase-promoting-complex
YDL008W	Anaphase-promoting-complex
YFR036W	Anaphase-promoting-complex
YGL240W	Anaphase-promoting-complex
YNL172W	Anaphase-promoting-complex
YOR249C	Anaphase-promoting-complex
YHR166C	Anaphase-promoting-complex
YLR127C	Anaphase-promoting-complex
YLR102C	Anaphase-promoting-complex
YKL022C	Anaphase-promoting-complex
YKL211C	Anthranilate-synthase
YER090W	Anthranilate-synthase
YPL259C	AP-1-complex
YPR029C	AP-1-complex
YKL135C	AP-1-complex
YLR170C	AP-1-complex
YJR005W	AP-2-complex
YJR058C	AP-2-complex
YOL062C	AP-2-complex
YBL037W	AP-2-complex
YBR288C	AP-3-complex
YPL195W	AP-3-complex
YGR261C	AP-3-complex
YJL024C	AP-3-complex
YML099C	ARG-complex
YMR042W	ARG-complex
YMR043W	ARG-complex
YDR173C	ARG-complex
YOR303W	Arginine-specific-carbamoylphosphate-synthase
YJR109C	Arginine-specific-carbamoylphosphate-synthase
YIL062C	Arp2p-Arp3p-complex
YLR370C	Arp2p-Arp3p-complex
YKL013C	Arp2p-Arp3p-complex
YJR065C	Arp2p-Arp3p-complex
YNR035C	Arp2p-Arp3p-complex
YDL029W	Arp2p-Arp3p-complex
YBL078C	Aut2p-Aut7p-complex
YNL223W	Aut2p-Aut7p-complex
YLR433C	Calcineurin-B
YML057W	Calcineurin-B
YKL190W	Calcineurin-B
YIL033C	cAMP-dependent-protein-kinase
YKL166C	cAMP-dependent-protein-kinase
YJL164C	cAMP-dependent-protein-kinase
YPL203W	cAMP-dependent-protein-kinase
YPL204W	Casein-kinase
YER123W	Casein-kinase
YHR135C	Casein-kinase
YGL019W	Casein-kinase
YIL035C	Casein-kinase
YNL154C	Casein-kinase
YOR061W	Casein-kinase
YOR039W	Casein-kinase
YNL154C	Casein-kinase-I
YER123W	Casein-kinase-I
YHR135C	Casein-kinase-I
YPL204W	Casein-kinase-I
YGL019W	Casein-kinase-II
YOR039W	Casein-kinase-II
YOR061W	Casein-kinase-II
YIL035C	Casein-kinase-II
YGR088W	Catalase
YDR256C	Catalase
YIR017C	Cbf1-Met4-Met28-complex
YJR060W	Cbf1-Met4-Met28-complex
YNL103W	Cbf1-Met4-Met28-complex
YKL109W	CCAAT-binding-factor-complex
YBL021C	CCAAT-binding-factor-complex
YOR358W	CCAAT-binding-factor-complex
YGL237C	CCAAT-binding-factor-complex
YER068W	CCR4-complex
YFL028C	CCR4-complex
YGR092W	CCR4-complex
YPR072W	CCR4-complex
YAL021C	CCR4-complex
YDL160C	CCR4-complex
YDL165W	CCR4-complex
YCR093W	CCR4-complex
YIL038C	CCR4-complex
YKR036C	CCR4-complex
YJR122W	CCR4-complex
YIL106W	CCR4-complex
YNR052C	CCR4-complex
YMR199W	Cdc28p-complexes
YLR210W	Cdc28p-complexes
YAL040C	Cdc28p-complexes
YDL155W	Cdc28p-complexes
YBR160W	Cdc28p-complexes
YPL256C	Cdc28p-complexes
YPR119W	Cdc28p-complexes
YPR120C	Cdc28p-complexes
YGR108W	Cdc28p-complexes
YGR109C	Cdc28p-complexes
YGR140W	CENIII-complex
YDR328C	CENIII-complex
YMR094W	CENIII-complex
YMR168C	CENIII-complex
YIL142W	Chaperonine-containing-T-complex-TRiC
YJL111W	Chaperonine-containing-T-complex-TRiC
YJR064W	Chaperonine-containing-T-complex-TRiC
YJL008C	Chaperonine-containing-T-complex-TRiC
YJL014W	Chaperonine-containing-T-complex-TRiC
YDL143W	Chaperonine-containing-T-complex-TRiC
YDR212W	Chaperonine-containing-T-complex-TRiC
YDR188W	Chaperonine-containing-T-complex-TRiC
YBR195C	Chromatin-assembly-complex
YPR018W	Chromatin-assembly-complex
YML102W	Chromatin-assembly-complex
YMR231W	Class-C-Vps-protein-complex
YLR148W	Class-C-Vps-protein-complex
YLR396C	Class-C-Vps-protein-complex
YPL045W	Class-C-Vps-protein-complex
YGL206C	Clathrin
YGR167W	Clathrin
YML012W	Coat-complexes
YNL287W	Coat-complexes
YOR069W	Coat-complexes
YOR132W	Coat-complexes
YIL076W	Coat-complexes
YIL109C	Coat-complexes
YLR208W	Coat-complexes
YJL154C	Coat-complexes
YJL053W	Coat-complexes
YAL007C	Coat-complexes
YAL042W	Coat-complexes
YDL192W	Coat-complexes
YDR170C	Coat-complexes
YDR238C	Coat-complexes
YDL195W	Coat-complexes
YDL145C	Coat-complexes
YAR002C-A	Coat-complexes
YPL010W	Coat-complexes
YPL218W	Coat-complexes
YPR181C	Coat-complexes
YPL085W	Coat-complexes
YFR051C	Coat-complexes
YGL200C	Coat-complexes
YHR012W	Coat-complexes
YGL137W	Coat-complexes
YER148W	Core-Factor
YBL014C	Core-Factor
YJL025W	Core-Factor
YML043C	Core-Factor
YDR529C	Cytochrome-bc1-complex
YFR033C	Cytochrome-bc1-complex
YHR001W-A	Cytochrome-bc1-complex
YGR183C	Cytochrome-bc1-complex
YEL024W	Cytochrome-bc1-complex
YPR191W	Cytochrome-bc1-complex
YBL045C	Cytochrome-bc1-complex
YJL166W	Cytochrome-bc1-complex
YOR065W	Cytochrome-bc1-complex
YMR256C	Cytochrome-c-oxidase
YNL052W	Cytochrome-c-oxidase
YLR038C	Cytochrome-c-oxidase
YLR395C	Cytochrome-c-oxidase
YDL067C	Cytochrome-c-oxidase
YGL187C	Cytochrome-c-oxidase
YHR051W	Cytochrome-c-oxidase
YGL191W	Cytochrome-c-oxidase
YDR418W	cytoplasmic-ribosomal-large-subunit
YEL054C	cytoplasmic-ribosomal-large-subunit
YGR148C	cytoplasmic-ribosomal-large-subunit
YGL076C	cytoplasmic-ribosomal-large-subunit
YGL031C	cytoplasmic-ribosomal-large-subunit
YGL030W	cytoplasmic-ribosomal-large-subunit
YFR032C-A	cytoplasmic-ribosomal-large-subunit
YFR031C-A	cytoplasmic-ribosomal-large-subunit
YFL034C-A	cytoplasmic-ribosomal-large-subunit
YER117W	cytoplasmic-ribosomal-large-subunit
YER056C-A	cytoplasmic-ribosomal-large-subunit
YDR471W	cytoplasmic-ribosomal-large-subunit
